icao,type,name,latitude,longitude,elevation,country
KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,US
KCMI,medium_airport,University of Illinois Willard Airport,40.03919983,-88.27809906,755,US
KCMX,medium_airport,Houghton County Memorial Airport,47.168399810791016,-88.48909759521484,1095,US
KCNM,medium_airport,Cavern City Air Terminal,32.337501525878906,-104.26300048828124,3295,US
KCOS,medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,US
KCOU,medium_airport,Columbia Regional Airport,38.8181,-92.219597,889,US
KCPR,medium_airport,Casper-Natrona County International Airport,42.908001,-106.463997,5350,US
KCRP,medium_airport,Corpus Christi International Airport,27.770399,-97.501198,44,US
KCRW,medium_airport,Yeager Airport,38.3731,-81.593201,981,US
KCSG,medium_airport,Columbus Metropolitan Airport,32.516300201416016,-84.93890380859375,397,US
KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,896,US
KCYS,medium_airport,Cheyenne Regional Jerry Olson Field,41.15570068,-104.8119965,6159,US
KDAB,medium_airport,Daytona Beach International Airport,29.179899,-81.058098,34,US
KDAL,medium_airport,Dallas Love Field,32.847099,-96.851799,487,US
KDAY,medium_airport,James M Cox Dayton International Airport,39.902401,-84.219398,1009,US
KDBQ,medium_airport,Dubuque Regional Airport,42.402,-90.709503,1077,US
KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,US
KDDC,medium_airport,Dodge City Regional Airport,37.76340103149414,-99.9655990600586,2594,US
KDEC,medium_airport,Decatur Airport,39.834598541259766,-88.8656997680664,682,US
KDEN,large_airport,Denver International Airport,39.861698150635,-104.672996521,5431,US
KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,US
KDHN,medium_airport,Dothan Regional Airport,31.3213005065918,-85.44960021972656,401,US
KDLH,medium_airport,Duluth International Airport,46.842098,-92.193604,1428,US
KDSM,medium_airport,Des Moines International Airport,41.534,-93.663101,958,US
KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645,US
KDUJ,medium_airport,DuBois Regional Airport,41.17829895,-78.8986969,1817,US
KDZ,seaplane_base,Polgolla Reservoir Seaplane Base,7.3251,80.6422,1473,LK
KEAR,medium_airport,Kearney Regional Airport,40.727001,-99.006798,2131,US
KEAU,medium_airport,Chippewa Valley Regional Airport,44.86579895019531,-91.48429870605467,913,US
KECP,medium_airport,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,US
KEGE,medium_airport,Eagle County Regional Airport,39.64260101,-106.9179993,6548,US
KEKO,medium_airport,Elko Regional Airport,40.82490158081055,-115.79199981689452,5140,US
KELD,medium_airport,South Arkansas Regional At Goodwin Field,33.22100067138672,-92.81330108642578,277,US
KELM,medium_airport,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,954,US
KELP,medium_airport,El Paso International Airport,31.80719948,-106.3779984,3959,US
KERI,medium_airport,Erie International Tom Ridge Field,42.083127,-80.173867,732,US
KEUG,medium_airport,Mahlon Sweet Field,44.12459945678711,-123.21199798583984,374,US
KEVV,medium_airport,Evansville Regional Airport,38.0369987488,-87.5324020386,418,US
KEWB,medium_airport,New Bedford Regional Airport,41.67610168457031,-70.95690155029297,80,US
KEWN,medium_airport,Coastal Carolina Regional Airport,35.0730018616,-77.04290008539999,18,US
KEWR,large_airport,Newark Liberty International Airport,40.692501,-74.168701,18,US
KEYW,medium_airport,Key West International Airport,24.556101,-81.759598,3,US
KFAR,medium_airport,Hector International Airport,46.92070007324219,-96.81580352783205,902,US
KFAT,medium_airport,Fresno Yosemite International Airport,36.776199,-119.718002,336,US
KFAY,medium_airport,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,189,US
KFHR,small_airport,Friday Harbor Airport,48.5219993591,-123.024002075,113,US
KFHU,medium_airport,Sierra Vista Municipal Airport / Libby Army Air Field,31.587383,-110.348225,4719,US
KFLG,medium_airport,Flagstaff Pulliam International Airport,35.1385,-111.670998,7014,US
KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,US
KFLO,medium_airport,Florence Regional Airport,34.18539810180664,-79.7238998413086,146,US
KFNT,medium_airport,Bishop International Airport,42.96540069580078,-83.74359893798828,782,US
KFOD,medium_airport,Fort Dodge Regional Airport,42.55149841,-94.19259644,1156,US
KFSD,medium_airport,Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,1429,US
KFSM,medium_airport,Fort Smith Regional Airport,35.336601,-94.367401,469,US
KFWA,medium_airport,Fort Wayne International Airport,40.9785,-85.195099,814,US
KG-0001,medium_airport,Jalal-Abad Airport,40.944401,72.977798,2591,KG
KG-0002,small_airport,Naryn Airport,41.44150161739999,76.13059997559999,6998,KG
KG-0004,small_airport,Talas Airport,42.5059013367,72.2630996704,4153,KG
KG-0006,small_airport,Tamga Airport,42.1530990601,77.5639038086,5655,KG
KG-0007,small_airport,Tokmok Airport,42.8288993835,75.33599853519999,2770,KG
KG-0014,small_airport,Kerben Airport,41.484500885,71.7337036133,4199,KG
KG-0018,small_airport,Kyzyl-Kiya Airport,40.2717018127,72.0470962524,2928,KG
KGCC,medium_airport,Gillette Campbell County Airport,44.3488998413,-105.539001465,4365,US
KGCK,medium_airport,Garden City Regional Airport,37.9275016785,-100.723999023,2891,US
KGCN,medium_airport,Grand Canyon National Park Airport,35.9524,-112.147003,6609,US
KGEG,medium_airport,Spokane International Airport,47.6199,-117.533997,2376,US
KGFK,medium_airport,Grand Forks International Airport,47.949299,-97.176102,845,US
KGGG,medium_airport,East Texas Regional Airport,32.38399887084961,-94.71150207519533,365,US
KGGW,medium_airport,Wokal Field/Glasgow-Valley County Airport,48.212502,-106.614998,2296,US
KGJT,medium_airport,Grand Junction Regional Airport,39.126663,-108.529387,4858,US
KGLH,medium_airport,Mid Delta Regional Airport,33.4828987121582,-90.98560333251952,131,US
KGNV,medium_airport,Gainesville Regional Airport,29.6900997162,-82.2717971802,152,US
KGPI,medium_airport,Glacier Park International Airport,48.31050109863281,-114.25599670410156,2977,US
KGPT,medium_airport,Gulfport Biloxi International Airport,30.407301,-89.070099,28,US
KGRB,medium_airport,Austin Straubel International Airport,44.4851,-88.129601,695,US
KGRI,medium_airport,Central Nebraska Regional Airport,40.96749877929688,-98.30960083007812,1847,US
KGRK,medium_airport,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field,31.0672,-97.828903,1015,US
KGRR,medium_airport,Gerald R. Ford International Airport,42.88079834,-85.52279663,794,US
KGSO,medium_airport,Piedmont Triad International Airport,36.097801,-79.937302,925,US
KGSP,medium_airport,Greenville Spartanburg International Airport,34.895699,-82.218903,964,US
KGTF,medium_airport,Great Falls International Airport,47.48199844,-111.3710022,3680,US
KGTR,medium_airport,Golden Triangle Regional Airport,33.450298309299995,-88.5914001465,264,US
KGX,small_airport,Grayling Airport,62.895187,-160.066289,99,US
KHIB,medium_airport,Range Regional Airport,47.3866,-92.838997,1354,US
KHII,medium_airport,Lake Havasu City International Airport,34.571098,-114.358002,783,US
KHLN,medium_airport,Helena Regional Airport,46.6068000793457,-111.98300170898438,3877,US
KHON,medium_airport,Huron Regional Airport,44.38520050048828,-98.22850036621094,1289,US
KHOT,medium_airport,Memorial Field,34.47800064086914,-93.09619903564452,540,US
KHOU,medium_airport,William P Hobby Airport,29.645399,-95.2789,46,US
KHPN,medium_airport,Westchester County Airport,41.06700134277344,-73.70760345458984,439,US
KHRL,medium_airport,Valley International Airport,26.228500366210938,-97.65440368652344,36,US
KHRO,medium_airport,Boone County Airport,36.26150131225586,-93.15470123291016,1365,US
KHSV,medium_airport,Huntsville International Carl T Jones Field,34.637199,-86.775101,629,US
KHTS,medium_airport,Tri-State/Milton J. Ferguson Field,38.366699,-82.557999,828,US
KHVN,medium_airport,Tweed New Haven Airport,41.26369858,-72.88680267,12,US
KHYA,medium_airport,Barnstable Municipal Boardman Polando Field,41.66930008,-70.28040314,54,US
KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,312,US
KIAG,medium_airport,Niagara Falls International Airport,43.1073,-78.946198,589,US
KIAH,large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,97,US
KICT,medium_airport,Wichita Eisenhower National Airport,37.649899,-97.433098,1333,US
KIDA,medium_airport,Idaho Falls Regional Airport,43.514599,-112.070999,4744,US
KILG,medium_airport,New Castle Airport,39.67869949,-75.60649872,80,US
KILM,medium_airport,Wilmington International Airport,34.270599365234375,-77.90260314941406,32,US
KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797,US
KINL,medium_airport,Falls International Airport,48.566200256347656,-93.4030990600586,1185,US
KIPT,medium_airport,Williamsport Regional Airport,41.241798400878906,-76.92109680175781,529,US
KIRK,medium_airport,Kirksville Regional Airport,40.09349822998047,-92.5448989868164,966,US
KISP,medium_airport,Long Island Mac Arthur Airport,40.79520035,-73.10019684,99,US
KITH,medium_airport,Ithaca Tompkins Regional Airport,42.49100112915039,-76.4583969116211,1099,US
